-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.249,  0.280
-183.791, 80.174, 0.368,  0.313
-183.783, 80.157, 0.505,  0.346
-183.772, 80.138, 0.570,  0.379
-183.760, 80.115, 0.706,  0.412
-183.744, 80.087, 0.901,  0.445
-183.725, 80.052, 1.084,  0.478
-183.705, 80.012, 1.278,  0.511
-183.682, 79.965, 1.478,  0.544
-183.658, 79.912, 1.659,  0.577
-183.633, 79.855, 1.799,  0.610
-183.607, 79.796, 1.875,  0.643
-183.581, 79.736, 1.918,  0.676
-183.555, 79.675, 1.934,  0.709
-183.529, 79.615, 1.931,  0.742
-183.504, 79.556, 1.913,  0.775
-183.478, 79.498, 1.883,  0.808
-183.452, 79.441, 1.846,  0.841
-183.427, 79.386, 1.803,  0.874
-183.402, 79.332, 1.756,  0.907
-183.377, 79.280, 1.707,  0.940
-183.353, 79.230, 1.656,  0.973
-183.329, 79.181, 1.604,  1.006
-183.306, 79.135, 1.526,  1.039
-183.283, 79.091, 1.467,  1.072
-183.261, 79.048, 1.422,  1.105
-183.239, 79.006, 1.398,  1.138
-183.217, 78.965, 1.397,  1.171
-183.194, 78.922, 1.419,  1.204
-183.170, 78.879, 1.464,  1.237
-183.146, 78.833, 1.524,  1.270
-183.121, 78.786, 1.586,  1.303
-183.095, 78.737, 1.637,  1.336
-183.069, 78.687, 1.670,  1.369
-183.043, 78.637, 1.682,  1.402
-183.016, 78.586, 1.677,  1.435
-182.991, 78.537, 1.659,  1.468
-182.965, 78.488, 1.634,  1.501
-182.940, 78.441, 1.607,  1.534
-182.916, 78.394, 1.584,  1.567
-182.891, 78.347, 1.568,  1.600
-182.867, 78.301, 1.561,  1.633
-182.842, 78.255, 1.565,  1.666
-182.817, 78.208, 1.579,  1.699
-182.792, 78.161, 1.601,  1.732
